id,input,output
0,"Automatic knowledge graph construction aims to manufacture structured human knowledge. To this end, much effort has historically been spent extracting informative fact patterns from different data sources.","[{'entity1': 'Automatic knowledge graph construction', 'relationship': 'aims', 'entity2': 'structured human knowledge'}, {'entity1': 'effort', 'relationship': 'spent', 'entity2': 'extracting informative fact patterns'}]"
1,"A knowledge graph is built in three steps: knowledge acquisition, knowledge refinement, and knowledge evolution.","[{'entity1': 'Knowledge graph', 'relationship': 'built in', 'entity2': 'three steps'}, {'entity1': 'knowledge acquisition', 'relationship': 'part of', 'entity2': 'knowledge graph'}, {'entity1': 'knowledge refinement', 'relationship': 'part of', 'entity2': 'knowledge graph'}, {'entity1': 'knowledge evolution', 'relationship': 'part of', 'entity2': 'knowledge graph'}]"
2,Researchers have also been exploring new ways of handling sophisticated construction tasks in diversified scenarios.,"[{'entity1': 'Researchers', 'relationship': 'exploring', 'entity2': 'new ways'}, {'entity1': 'new ways', 'relationship': 'handling', 'entity2': 'sophisticated construction tasks'}]"
3,"The survey covers models for knowledge refinement, including knowledge graph completion, and knowledge fusion.","[{'entity1': 'survey', 'relationship': 'covers', 'entity2': 'models'}, {'entity1': 'models', 'relationship': 'for', 'entity2': 'knowledge refinement'}, {'entity1': 'knowledge refinement', 'relationship': 'includes', 'entity2': 'knowledge graph completion'}, {'entity1': 'knowledge refinement', 'relationship': 'includes', 'entity2': 'knowledge fusion'}]"
4,"Numerous deep learning models have delivered good performances with tasks like named entity recognition, entity typing, entity linking, coreference resolution, relation extraction. Additionally, deep knowledge representation models have also been developed that can refine knowledge graphs.","[{'entity1': 'Deep learning models', 'relationship': 'performances', 'entity2': 'Named entity recognition'}, {'entity1': 'Deep learning models', 'relationship': 'performances', 'entity2': 'Entity typing'}, {'entity1': 'Deep knowledge representation models', 'relationship': 'developed', 'entity2': 'Knowledge graphs'}, {'entity1': 'Deep knowledge representation models', 'relationship': 'refine', 'entity2': 'Knowledge graphs'}]"
5,"Many knowledge bases, such as TransOMCS, ASER, and huapu, have put automatic KG construction methods into practice.","[{'entity1': 'TransOMCS', 'relationship': 'automatic KG construction methods', 'entity2': 'practice'}, {'entity1': 'ASER', 'relationship': 'automatic KG construction methods', 'entity2': 'practice'}, {'entity1': 'huapu', 'relationship': 'automatic KG construction methods', 'entity2': 'practice'}]"
6,"With advances in the pre-training of deep learning models, KG construction tasks are being applied to more complicated scenarios in the big data environment.","[{'entity1': 'Pre-training', 'relationship': 'advances', 'entity2': 'Deep learning models'}, {'entity1': 'KG construction tasks', 'relationship': 'applied', 'entity2': 'Complicated scenarios'}, {'entity1': 'KG construction tasks', 'relationship': 'applied', 'entity2': 'Big data environment'}]"
7,"Many contributions have been made to formally define knowledge graphs. Wang et al. modeled a knowledge graph as a multi-relation graph, where the nodes are entities and the edges represent different types of relationships. Ehrlinger and Woß further emphasize that a knowledge graph arranges information into an ontology and then enlightens novel knowledge discovery with a reasoner. Wu et al. define a knowledge graph as a semantic graph where the nodes represent concepts (entities/attributes/facts), and the edges represent relationships that connect the nodes while drawing on background knowledge about the concepts and relations.","[{'entity1': 'Knowledge Graph', 'relationship': 'modeled as', 'entity2': 'multi-relation graph'}, {'entity1': 'Knowledge Graph', 'relationship': 'arranges', 'entity2': 'information'}, {'entity1': 'Knowledge Graph', 'relationship': 'enlightens', 'entity2': 'knowledge discovery'}, {'entity1': 'Knowledge Graph', 'relationship': 'represents', 'entity2': 'semantic graph'}, {'entity1': 'nodes', 'relationship': 'represent', 'entity2': 'concepts'}, {'entity1': 'edges', 'relationship': 'connect', 'entity2': 'nodes'}]"
8,"In this section, we review the representative practical projects (datasets) of knowledge graphs, including encyclopedia knowledge graphs, linguistic knowledge graphs, commonsense knowledge graphs, enterprise support knowledge graphs, domain-specific knowledge graphs, and federated knowledge graphs.","[{'entity1': 'Practical Knowledge Graph Projects', 'relationship': 'include', 'entity2': 'encyclopedia knowledge graphs'}, {'entity1': 'Practical Knowledge Graph Projects', 'relationship': 'include', 'entity2': 'linguistic knowledge graphs'}, {'entity1': 'Practical Knowledge Graph Projects', 'relationship': 'include', 'entity2': 'commonsense knowledge graphs'}, {'entity1': 'Practical Knowledge Graph Projects', 'relationship': 'include', 'entity2': 'enterprise support knowledge graphs'}, {'entity1': 'Practical Knowledge Graph Projects', 'relationship': 'include', 'entity2': 'domain-specific knowledge graphs'}, {'entity1': 'Practical Knowledge Graph Projects', 'relationship': 'include', 'entity2': 'federated knowledge graphs'}]"
9,"The Max Planck Institution developed YAGO, which integrates temporal and geographical structures in Wikipedia with a WordNet ontology. Minz et al. applied distance supervision to Freebase for automatically annotating entity relationships. The research community has also been concerned with knowledge graphs of eventualities. For example, CN-Probase extends Probase with concepts in Chinese to understand general modes of textual data that involve uncertain occurrences.","[{'entity1': 'Max Planck Institution', 'relationship': 'developed', 'entity2': 'YAGO'}, {'entity1': 'Minz et al.', 'relationship': 'applied', 'entity2': 'distance supervision'}, {'entity1': 'research community', 'relationship': 'concerned', 'entity2': 'knowledge graphs'}, {'entity1': 'CN-Probase', 'relationship': 'extends', 'entity2': 'Probase'}]"
10,"Linguistic knowledge graphs deliver knowledge of the human language to provide basic semantics as ontologies or external features. WordNet is a classical widely-used knowledge graph dictionary for linguistic study, providing synonymy or hyponymy relationships among words. With these tools, developers create high-performance word embeddings based on well-built linguistic knowledge graphs for downstream applications. Beyond WordNet, BabelNet extends WordNet with cross-lingual attributes and relations of words from encyclopedias.","[{'entity1': 'Linguistic knowledge graphs', 'relationship': 'deliver', 'entity2': 'knowledge'}, {'entity1': 'WordNet', 'relationship': 'provides', 'entity2': 'synonymy'}, {'entity1': 'WordNet', 'relationship': 'provides', 'entity2': 'hyponymy'}, {'entity1': 'developers', 'relationship': 'create', 'entity2': 'word embeddings'}, {'entity1': 'BabelNet', 'relationship': 'extends', 'entity2': 'WordNet'}]"
11,"Knowledge graphs and their related systems have been effectively supporting the business of enterprise activities. Google Knowledge Graph (GKG), served as a core function since 2012, delivers knowledge support for user queries and enriches the results with more semantically-related content. Facebook Graph Search is the powerful semantic search engine of Facebook, providing user-specific answers through the dynamic knowledge base in the Facebook social system.","[{'entity1': 'Knowledge graphs', 'relationship': 'supporting', 'entity2': 'enterprise activities'}, {'entity1': 'Google Knowledge Graph (GKG)', 'relationship': 'delivers', 'entity2': 'knowledge support'}, {'entity1': 'Facebook Graph Search', 'relationship': 'provides', 'entity2': 'user-specific answers'}]"
